Publisher_Nintendo,Critic_Count,User_Count,Critic_Score,Year_of_Release,Platform_GB,Platform_NES,User_Score,Platform_X360,Platform_PC,Platform_Wii,Publisher_Other,Genre_Platform,Global_Sales
0,89.0,3589.0,96.0,2011.0,0,0,8.4,1,0,0,1,0,8.79
1,0.0,0.0,71.0,1992.0,0,0,7.5,0,0,0,0,0,8.76
0,42.0,896.0,82.0,2015.0,0,0,4.3,0,0,0,0,0,8.57
0,91.0,1218.0,95.0,2004.0,0,0,8.2,0,0,0,1,0,8.49
1,42.0,54.0,68.0,2010.0,0,0,7.4,0,0,1,0,0,8.38
1,41.0,190.0,62.0,2007.0,0,0,6.3,0,0,1,0,0,8.27
0,37.0,348.0,88.0,2012.0,0,0,6.6,0,0,0,0,0,8.16
1,0.0,0.0,71.0,1997.0,0,0,7.5,0,0,0,0,0,8.09
1,0.0,0.0,71.0,2012.0,0,0,7.5,0,0,0,0,0,8.07
0,53.0,1056.0,92.0,2001.0,0,0,8.7,0,0,0,0,0,8.05
0,75.0,886.0,86.0,2009.0,0,0,7.6,0,1,0,0,0,8.01
0,0.0,0.0,71.0,2007.0,0,0,7.5,0,0,1,0,0,7.99
0,0.0,0.0,71.0,2015.0,0,0,7.5,0,0,0,0,0,7.98
0,24.0,644.0,90.0,1999.0,0,0,8.6,0,0,0,1,0,7.86
0,0.0,0.0,71.0,1982.0,0,0,7.5,0,0,0,1,0,7.81
1,46.0,203.0,83.0,2008.0,0,0,8.5,0,0,0,0,0,7.72
0,65.0,451.0,88.0,2005.0,0,0,7.6,0,0,0,0,0,7.69
0,39.0,1443.0,83.0,2014.0,0,0,5.7,0,0,0,0,0,7.66
1,0.0,0.0,71.0,1998.0,0,0,7.5,0,0,0,0,0,7.6
0,41.0,398.0,85.0,2016.0,0,0,5.0,0,0,0,0,0,7.59
0,0.0,0.0,71.0,1997.0,0,0,7.5,0,0,0,0,1,7.58
1,0.0,0.0,71.0,2014.0,0,0,7.5,0,0,0,0,0,7.55
1,87.0,1854.0,97.0,2010.0,0,0,9.1,0,0,1,0,1,7.51
1,0.0,0.0,71.0,1988.0,0,1,7.5,0,0,0,0,1,7.46
0,0.0,0.0,71.0,2015.0,0,0,7.5,0,0,0,0,0,7.39
0,84.0,580.0,84.0,2008.0,0,0,7.6,1,0,0,0,0,7.38
0,57.0,2142.0,84.0,2011.0,0,0,7.4,1,0,0,0,0,7.32
0,33.0,171.0,85.0,2003.0,0,0,8.6,0,0,0,0,0,7.2
0,21.0,110.0,49.0,2009.0,0,0,8.0,0,0,1,0,0,7.2
0,38.0,1761.0,85.0,2011.0,0,0,7.5,0,0,0,0,0,7.17
0,58.0,4228.0,87.0,2015.0,0,0,6.5,0,0,0,1,0,7.16
0,15.0,367.0,96.0,1998.0,0,0,9.1,0,0,0,0,0,7.16
1,73.0,1658.0,95.0,2006.0,0,0,9.0,0,0,1,0,0,7.15
1,0.0,0.0,71.0,2016.0,0,0,7.5,0,0,0,0,0,7.14
0,12.0,432.0,91.0,1998.0,0,0,8.9,0,0,0,0,1,7.13
1,82.0,1599.0,88.0,2014.0,0,0,9.1,0,0,0,0,0,7.09
1,38.0,568.0,92.0,2001.0,0,0,9.1,0,0,0,0,0,7.07
1,0.0,0.0,71.0,2003.0,0,0,7.5,0,0,0,0,0,6.95
0,39.0,132.0,82.0,2004.0,0,0,8.6,0,0,0,0,0,6.9
0,29.0,135.0,88.0,2002.0,0,0,8.5,0,0,0,0,0,6.83
0,0.0,0.0,71.0,1996.0,0,0,7.5,0,0,0,0,1,6.82
0,10.0,28.0,74.0,2012.0,0,0,7.3,0,0,1,0,0,6.76
0,90.0,2739.0,93.0,2008.0,0,0,7.7,1,0,0,1,0,6.75
0,97.0,3712.0,92.0,2011.0,0,0,8.3,0,0,0,0,0,6.74
0,0.0,0.0,71.0,2010.0,0,0,7.5,0,0,1,1,0,6.71
0,44.0,993.0,94.0,2007.0,0,0,8.4,0,0,0,0,0,6.68
0,105.0,5187.0,96.0,2009.0,0,0,8.8,0,0,0,0,0,6.66
0,0.0,0.0,71.0,2011.0,0,0,7.5,0,0,0,0,0,6.65
1,45.0,27.0,74.0,2005.0,0,0,7.4,0,0,0,0,0,6.62
1,0.0,0.0,71.0,1986.0,0,1,7.5,0,0,0,0,0,6.51
0,73.0,2456.0,95.0,2010.0,0,0,8.8,0,0,0,0,0,6.49
0,37.0,576.0,86.0,2013.0,0,0,4.3,0,0,0,0,0,6.47
0,41.0,1307.0,85.0,2012.0,0,0,6.9,0,0,0,0,0,6.45
1,77.0,368.0,87.0,2010.0,0,0,8.6,0,0,1,0,1,6.44
0,68.0,1283.0,97.0,2001.0,0,0,8.6,0,0,0,1,0,6.43
0,16.0,2527.0,92.0,2011.0,0,0,6.4,0,0,0,1,0,6.41
1,28.0,222.0,76.0,2004.0,0,0,9.0,0,0,0,0,0,6.41
0,46.0,597.0,85.0,2002.0,0,0,8.8,0,0,0,0,0,6.4
1,0.0,0.0,71.0,2000.0,1,0,7.5,0,0,0,0,0,6.39
0,94.0,1163.0,83.0,2009.0,0,0,7.1,1,0,0,1,0,6.34
0,96.0,2316.0,95.0,2010.0,0,0,9.0,1,0,0,0,0,6.32
1,61.0,439.0,92.0,2002.0,0,0,8.6,0,0,0,0,1,6.31
0,0.0,0.0,71.0,1992.0,0,0,7.5,0,0,0,1,0,6.3
0,57.0,2182.0,93.0,2004.0,0,0,7.3,0,1,0,0,0,6.29
0,22.0,78.0,87.0,1999.0,0,0,8.1,0,0,0,1,0,6.27
0,96.0,1504.0,91.0,2011.0,0,0,7.8,1,0,0,1,0,6.21
0,51.0,95.0,73.0,2010.0,0,0,7.4,1,0,0,1,0,6.19
0,88.0,2295.0,94.0,2006.0,0,0,8.3,1,0,0,1,0,6.09
0,47.0,988.0,82.0,2014.0,0,0,5.7,0,0,0,0,0,6.08
0,42.0,1026.0,96.0,2001.0,0,0,8.7,0,0,0,0,0,6.05
0,0.0,0.0,71.0,1992.0,0,0,7.5,0,0,0,0,1,6.03
0,20.0,918.0,94.0,1998.0,0,0,9.4,0,0,0,0,0,6.03
0,82.0,3558.0,94.0,2008.0,0,0,8.7,0,0,0,0,0,5.99
0,64.0,972.0,92.0,2006.0,0,0,7.6,0,0,0,1,0,5.95
0,98.0,8003.0,95.0,2013.0,0,0,9.1,0,0,0,1,0,5.87
0,85.0,5311.0,95.0,2008.0,0,0,6.8,0,0,0,0,1,5.82
